rounds,SINGLE_STRATEGY,WEIGHTED_SINGLE,DOUBLE_STRATEGY,WEIGHTED_DOUBLE,TRIPLE_STRATEGY,WEIGHTED_TRIPLE
1,2,1,2,1,1,1
2,39,59,50,85,79,79
3,212,339,316,496,539,539
4,649,827,933,1154,1395,1395
5,1320,1351,1674,1763,1966,1966
6,1691,1622,1997,1923,1980,1980
7,1727,1669,1833,1651,1591,1591
8,1517,1472,1311,1265,1170,1170
9,1173,1058,927,836,698,698
10,834,774,592,485,397,397
11,495,473,322,294,212,212
12,298,284,128,157,117,117
13,145,142,87,81,59,59
14,67,97,46,31,23,23
15,44,50,17,12,9,9
16,19,17,3,5,3,3
17,5,3,1,0,0,0
18,2,1,0,0,0,0
19,0,0,0,0,0,0
