word,SINGLE_STRATEGY,WEIGHTED_SINGLE,DOUBLE_STRATEGY,WEIGHTED_DOUBLE,TRIPLE_STRATEGY,WEIGHTED_TRIPLE
aalii,4,6,3,6,4,4
aaron,3,6,3,5,3,3
abaca,5,9,5,8,6,6
aback,9,9,7,6,5,5
abaff,9,12,8,11,8,8
abaft,7,9,9,8,6,6
abama,6,11,4,11,6,6
abase,3,4,4,6,4,4
abash,5,4,5,6,5,5
abask,6,5,6,7,6,6
abate,5,6,5,6,3,3
abave,5,9,6,10,6,6
abaze,6,10,7,11,8,8
abbas,7,8,6,7,7,7
abbey,10,6,7,8,7,7
abbie,6,7,6,8,9,9
abbot,8,5,6,6,6,6
abdal,7,8,5,5,6,6
abdat,9,7,5,8,6,6
abeam,6,7,5,5,5,5
abear,3,3,6,4,5,5
abele,4,9,4,5,7,7
abhor,8,7,5,7,5,5
abide,8,6,7,9,7,7
abidi,7,9,8,8,7,7
abies,6,2,6,4,4,4
abilo,6,3,5,5,7,7
abkar,7,7,7,9,7,7
abler,6,5,3,4,7,7
ablow,8,6,7,6,7,7
abmho,8,9,7,6,6,6
abner,3,3,4,4,4,4
abnet,6,5,5,4,6,6
abode,8,6,7,9,7,7
abody,9,8,9,8,6,6
abohm,11,11,7,6,5,5
aboil,6,6,6,4,8,8
aboma,6,12,5,9,5,5
aboon,6,6,6,6,7,7
abord,6,6,6,6,5,5
abort,5,6,4,5,4,4
about,8,7,6,6,5,5
above,9,7,8,9,5,5
abram,7,8,5,7,4,4
abret,4,3,4,4,3,3
abrim,8,7,8,7,5,5
abrin,5,4,5,4,5,5
abrus,6,4,6,3,4,4
absit,6,4,7,5,4,4
abuna,7,7,5,7,4,4
abura,6,7,4,8,5,5
abuse,8,4,6,6,5,5
abuta,6,5,7,6,7,7
abuzz,10,12,9,9,9,9
abwab,11,12,7,9,13,13
abysm,7,5,7,7,6,6
abyss,8,6,9,8,7,7
acana,4,6,5,6,4,4
acapu,8,8,8,7,5,5
acara,2,6,3,5,5,5
acari,3,3,3,4,4,4
acate,4,5,4,5,5,5
accoy,9,6,6,7,6,6
acedy,9,7,6,5,4,4
acerb,4,5,5,4,5,5
achar,6,6,4,7,4,4
achen,5,4,4,5,3,3
acher,7,8,6,6,4,4
achor,7,6,4,6,4,4
acier,4,2,6,8,6,6
acker,8,9,7,7,5,5
ackey,9,8,6,7,6,6
aclys,6,5,5,6,8,8
acmic,10,7,7,9,7,7
acock,11,8,7,6,9,9
acoin,5,3,5,6,5,5
acold,8,6,6,6,7,7
acoma,5,7,3,7,4,4
acoma,5,7,3,7,4,4
acone,5,5,6,6,3,3
acorn,4,4,4,5,4,4
acrab,6,8,6,7,8,8
acred,5,4,3,3,4,4
acrid,7,3,5,5,6,6
acroa,3,6,4,6,4,4
acron,4,4,6,3,3,3
acrux,7,7,6,5,6,6
acryl,7,6,5,5,5,5
actin,6,4,4,6,5,5
acton,6,5,5,6,4,4
actor,5,4,5,4,4,4
acuan,9,5,6,5,9,9
acute,6,4,7,6,6,6
adage,7,7,7,8,3,3
adapa,6,11,6,8,11,11
adapt,6,8,8,7,4,4
adati,5,5,5,6,4,4
adawe,6,8,8,10,6,6
adawn,5,6,4,7,3,3
adays,5,7,5,7,6,6
addax,10,12,12,9,9,9
added,8,10,7,8,7,7
adder,9,6,8,7,6,6
addie,5,6,5,7,8,8
addle,9,7,9,11,10,10
adead,4,9,6,7,6,6
adeem,4,7,7,6,6,6
adeep,6,8,8,7,7,7
adela,3,7,4,7,5,5
adept,9,5,6,6,6,6
adfix,10,7,9,11,11,11
adiel,5,3,4,4,4,4
adieu,6,5,8,5,5,5
adion,4,3,5,7,5,5
adjag,11,12,13,10,2,2
adlai,5,4,5,6,5,5
adlay,7,7,6,7,6,6
adlet,7,6,4,3,6,6
adman,8,7,8,8,3,3
admin,7,6,7,9,3,3
admit,10,6,7,6,5,5
